Date,Open,High,Low,Close,Adj Close,Volume
1995-08-07,33.250000,33.375000,33.000000,33.187500,20.042883,2145200
1995-08-08,33.187500,33.187500,32.875000,32.937500,19.891886,1273400
1995-08-09,32.875000,32.875000,32.625000,32.687500,19.891897,1238000
1995-08-10,32.687500,32.812500,32.000000,32.250000,19.625645,3020600
1995-08-11,32.187500,32.187500,31.750000,32.062500,19.511547,1788600
1995-08-14,32.062500,32.437500,31.812500,32.312500,19.663696,1564800
1995-08-15,32.312500,32.437500,31.812500,31.937500,19.435478,1357800
1995-08-16,31.937500,32.250000,31.500000,31.625000,19.245314,1814200
1995-08-17,31.562500,31.562500,31.125000,31.312500,19.055149,1874200
1995-08-18,31.312500,31.812500,31.250000,31.625000,19.245314,2312200
1995-08-21,32.062500,32.625000,32.062500,32.437500,19.739763,2511000
1995-08-22,32.437500,32.562500,32.250000,32.437500,19.739763,1546400
1995-08-23,32.437500,32.437500,31.812500,31.812500,19.359411,2221000
1995-08-24,31.812500,32.062500,31.562500,31.562500,19.207273,1412000
1995-08-25,31.562500,32.062500,31.562500,31.625000,19.245314,1250600
1995-08-28,31.625000,31.875000,31.312500,31.875000,19.397442,999800
1995-08-29,31.875000,32.250000,31.812500,32.000000,19.473520,1245000
1995-08-30,32.000000,32.187500,31.875000,32.000000,19.473520,888400
1995-08-31,32.000000,32.062500,31.875000,32.000000,19.473520,843800
1995-09-01,32.000000,33.187500,31.937500,32.687500,19.891897,2275600
1995-09-05,32.812500,33.937500,32.812500,33.687500,20.500443,3209600
1995-09-06,33.812500,34.437500,33.812500,34.000000,20.690613,2322000
1995-09-07,33.875000,33.875000,33.187500,33.312500,20.272228,1709200
1995-09-08,33.312500,34.375000,33.312500,34.250000,20.842747,2217800
1995-09-11,34.250000,34.812500,34.125000,34.687500,21.108986,2282800
1995-09-12,34.687500,35.000000,34.562500,34.937500,21.261126,1421800
1995-09-13,34.937500,35.437500,34.750000,35.375000,21.527369,2358400
1995-09-14,35.375000,35.562500,34.937500,35.500000,21.603434,1770200
1995-09-15,35.500000,35.562500,34.875000,34.937500,21.261126,2914800
1995-09-18,34.937500,35.375000,34.250000,35.375000,21.527369,2271200
1995-09-19,35.375000,35.375000,35.000000,35.312500,21.489326,1691400
1995-09-20,35.312500,36.000000,35.250000,35.875000,21.831640,1324800
1995-09-21,35.875000,36.187500,35.500000,35.812500,21.793610,2144000
1995-09-22,35.375000,35.375000,34.750000,35.062500,21.337198,1683800
1995-09-25,35.062500,35.125000,34.625000,34.625000,21.070950,1434200
